Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
carRespawner,blocks,respawner,,,Car Respawner,,,,,,,,,,,,轿车刷新点,,
busSchoolRespawner,blocks,respawner,,,School Bus Respawner,,,,,,,,,,,,校车刷新点,,
busSchoolShortRespawner,blocks,respawner,,,Short School Bus Respawner,,,,,,,,,,,,短校车刷新点,,
busShuttleRespawner,blocks,respawner,,,Shuttle Bus Respawner,,,,,,,,,,,,穿梭巴士刷新点,,
busCityRespawner,blocks,respawner,,,City Bus Respawner,,,,,,,,,,,,城市巴士刷新点,,
armyTruckClosedRespawner,blocks,respawner,,,Army Truck Respawner,,,,,,,,,,,,军用卡车刷新点,,
ambulanceTruck01Respawner,blocks,respawner,,,Ambulance Respawner,,,,,,,,,,,,救护车刷新点,,
serviceTruckMoPowerRespawner,blocks,respawner,,,Mo Power Truck Respawner,,,,,,,,,,,,Mo Power 卡车刷新点,,
serviceTruckWorkingStiffToolsRespawner,blocks,respawner,,,Working Stiffs Truck Respawner,,,,,,,,,,,,劳动度日卡车刷新点,,
vehicleRespawnersShortGroupDesc,blocks,block,,,Default Respawn Time 12 in game days if using the fault settings (actual time is 12 hours regardless of game settings),,,,,,,,,,,,默认游戏设定下将在12游戏日后刷新（实际刷新计时为现实时间12小时，忽略游戏设定）,,
vehicleRespawnersMediumGroupDesc,blocks,block,,,Default Respawn Time 15 in game days if using the fault settings (actual time is 15 hours regardless of game settings),,,,,,,,,,,,默认游戏设定下将在15游戏日后刷新（实际刷新计时为现实时间15小时，忽略游戏设定）,,
vehicleRespawnersLongGroupDesc,blocks,block,,,Default Respawn Time 17 in game days if using the fault settings (actual time is 17 hours regardless of game settings),,,,,,,,,,,,默认游戏设定下将在17游戏日后刷新（实际刷新计时为现实时间17小时，忽略游戏设定）,,
vehicleRespawnersVeryLongGroupDesc,blocks,block,,,Default Respawn Time 24 in game days if using the fault settings (actual time is 24 hours regardless of game settings),,,,,,,,,,,,默认游戏设定下将在24游戏日后刷新（实际刷新计时为现实时间24小时，忽略游戏设定）,,
