Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
bookFirefightersManual,items,perk  book,,,Firefighter's Manual,,,,,,,,,,,,消防员年鉴,,
bookFirefightersManualLongDesc,items,perk  book,,,This book is a collection of all of the books in Fireman's Almanac Set,,,,,,,,,,,,这本书是《消防员年鉴》的完整合订本。,,
bookNightStalkerCollectersEdition,items,perk  book,,,Night Stalker Collector's Edition,,,,,,,,,,,,夜行者,,
bookNightStalkerCollectersEditionLongDesc,items,perk  book,,,This is the Collector's Edition of the Night Stalker serires and contains all of the books in the Night Stalker Set,,,,,,,,,,,,这套《夜行者 收藏家版》囊括了此系列的全部书籍。,,
bookTheCharmedLife,items,perk  book,,,The Charmed Life,,,,,,,,,,,,魅力人生,,
bookTheCharmedLifeLongDesc,items,perk  book,,,Live that charmed life with the complete Lucky Looter Collection,,,,,,,,,,,,《幸运掠夺者》典藏版助您尊享迷人一生。,,
bookSoYouBoughtAHandCannon,items,perk  book,,,"So, You Bought A Hand Cannon",,,,,,,,,,,,于是，你买了门手炮,,
bookSoYouBoughtAHandCannonLongDesc,items,perk  book,,,Time to put that hand cannon to use with knowledge of the entire Magnum Enforce set,,,,,,,,,,,,有了全套的《马格南警官》，是时候让那门掌中大炮派点用场了。,,
bookBabeRuthsAutobiography,items,perk  book,,,Babe Ruth's Autobiography,,,,,,,,,,,,贝比·鲁斯自传,,
bookBabeRuthsAutobiographyLongDesc,items,perk  book,,,Learn how to hit a home run on AND off the field with the complete Batter Up series,,,,,,,,,,,,有了全套的《开打！》系列图书，无论在棒球场上抑或场外你都能次次本垒打。,,
bookUnofficialThievesGuide,items,perk  book,,,Unofficial Thieves' Guide,,,,,,,,,,,,非官方盗匪指南,,
bookUnofficialThievesGuideLongDesc,items,perk  book,,,Slip in and out and no one will notice with the knowledge of the Great Heist!,,,,,,,,,,,,偷鸡摸狗闯空门，\n大摇大摆《大劫掠》。,,
bookUltimateWastelandAdventures,items,perk  book,,,Ultimate Wasteland Adventures,,,,,,,,,,,,究极荒野冒险,,
bookUltimateWastelandAdventuresLongDesc,items,perk  book,,,Treasure is just a step away with this ultimate guide to the Wasteland Treasures,,,,,,,,,,,,有了这套《荒野宝藏》的究极指南，唾手可得的宝藏自然无处不在。,,
bookSupremeSeamstress,items,perk  book,,,Supreme Seamstress,,,,,,,,,,,,缝纫宗师,,
bookSupremeSeamstressLongDesc,items,perk  book,,,Claim your title as Seamstress Supreme with the complete collection of Needle and Thread,,,,,,,,,,,,这套《针与线》合订本将助您摘取“缝纫宗师”的头衔。,,
bookDaveyCrocketsJournal,items,perk  book,,,Davey Crocket's Journal,,,,,,,,,,,,大卫·克洛科特日记,,
bookDaveyCrocketsJournalLongDesc,items,perk  book,,,Tame the wild just like Davey Crocket would with the skills to do massive damage that you've learned from the The Hunter's Journal,,,,,,,,,,,,如大卫·克洛科特一般征服荒野，用你从《猎人日记》中学到的技能制造骇人伤害。,,
bookADiggersGuideToDirt,items,perk  book,,,A Digger's Guide to Dirt,,,,,,,,,,,,从挖土到入土,,
bookADiggersGuideToDirtLongDesc,items,perk  book,,,Not all dirt is just dirt. Learn the secrets that dirt holds with the complete collection of the Art of Mining,,,,,,,,,,,,珍土非凡，这套《挖矿的艺术》收藏版将带您领略泥土中的秘密。,,
bookRangersParadise,items,perk  book,,,Ranger's Paradise,,,,,,,,,,,,游侠天堂,,
bookRangersParadiseLongDesc,items,perk  book,,,Become one with the bow as you learn the Ranger's Guide to Archery,,,,,,,,,,,,《游侠箭术指南》教您如何人弓合一。,,
book9mmArmy,items,perk  book,,,9mm Army,,,,,,,,,,,,九毫米军团,,
book9mmArmyLongDesc,items,perk  book,,,Join the 9mm army and become just like Pistol Pete himself!,,,,,,,,,,,,快加入九毫米军团，来亲自书写《手枪皮特》的传奇吧！,,
bookTheLegacyOfAshsBoomstick,items,perk  book,,,The Legacy of Ash's Boomstick,,,,,,,,,,,,艾什的传奇烧火棍,,
bookTheLegacyOfAshsBoomstickLongDesc,items,perk  book,,,Learn what happened to Ash's Boomstick and become the true Shotgun Messiah,,,,,,,,,,,,领略艾什那杆烧火棍的传说，成为《霰弹枪救星》的真正主角。,,
bookOneShotOneKill,items,perk  book,,,"One Shot, One Kill",,,,,,,,,,,,弹无虚发,,
bookOneShotOneKillLongDesc,items,perk  book,,,"Earn the phrase One Shot, One Kill with the complete Sniper series of books",,,,,,,,,,,,全套《狙击手》系列丛书助您赢得“一枪一个”的美誉,,
bookTheSprayAndPrayBible,items,perk  book,,,The Spray and Pray Bible,,,,,,,,,,,,火网祷告圣典,,
bookTheSprayAndPrayBibleLongDesc,items,perk  book,,,A little bit of spray and a whole lot of pray. Get better skills with the complete Machine Gunner collection,,,,,,,,,,,,浅扫射，重祈祷。若欲技能上层楼，一切尽在《自动武器指导手册》完全版。,,
bookGuerrillaWarfare,items,perk  book,,,Guerrilla Warfare,,,,,,,,,,,,游击战,,
bookGuerrillaWarfareLongDesc,items,perk  book,,,Take the war to the enemy with all of the skills of Urban Combat,,,,,,,,,,,,以《城市作战》之技能，陷敌于战争泥潭。,,
bookAHackersGuideToEverything,items,perk  book,,,A Hacker's Guide to Everything,,,,,,,,,,,,黑客完全指南,,
bookAHackersGuideToEverythingLongDesc,items,perk  book,,,HACK THE WORLD!! Everything you need to know about hacking can be learned in the Tech Junkie series,,,,,,,,,,,,黑掉全世界！！一切您务必掌握的极客知识，尽在《科技迷》系列之中。,,
bookGreenStreetHooligans,items,perk  book,,,Green Street Hooligans,,,,,,,,,,,,绿街氓流,,
bookGreenStreetHooligansLongDesc,items,perk  book,,,"Jab, Jab, Uppercut! Learn everything there is know about being a street hooligan from the Bar Brawler series",,,,,,,,,,,,刺拳、刺拳、上勾拳！称霸街头的一切要领，尽在《酒吧斗殴》丛书。,,
bookSpartanTraining,items,perk  book,,,Spartan Training,,,,,,,,,,,,斯巴达的磨炼,,
bookSpartanTrainingLongDesc,items,perk  book,,,Don't let those biters get close! Use your Spear Hunter training and finish them off at a distance,,,,,,,,,,,,别让那些咬咬怪物凑上来！用《掷矛猎人》训练您在远距离上解决敌人的技巧。,,
perkEncyclopediaVolOne0Name,progression,perk  book,,,Encyclopedia - Survival of the Fittest,,,,,,,,,,,,大百科全书 - 适者生存 编,,
perkEncyclopediaVolOne0Desc,progression,perk  book,,,Don't leave anything to chance. Let me teach you everything I know about weapons and armor. The best way to stay alive is to have a good defense and a stronger offense,,,,,,,,,,,,“绝对不要在任何事情上听天由命。我将把自己对武器和护甲的一切了解倾囊相付。只有完善的防御和强劲的攻击才是求取生存的上上善道。”,,
perkEncyclopediaVolTwo0Name,progression,perk  book,,,Encyclopedia - The Apocalyptic Cookbook,,,,,,,,,,,,大百科全书 - 末世厨典 编,,
perkEncyclopediaVolTwo0Desc,progression,perk  book,,,"Don't let the apocalypse be the reason that you have to eat like a trash panda. With this collection you'll find everything you need to know about seeds, food, and drink.",,,,,,,,,,,,世界末日可不是您与浣熊共享食谱的理由。这套收藏中包含一切您需要了解的、关于种子、食物与饮品的知识。,,
perkEncyclopediaVolThree0Name,progression,perk  book,,,Encyclopedia - The Basics,,,,,,,,,,,,大百科全书 - 基础入门 编,,
perkEncyclopediaVolThree0Desc,progression,perk  book,,,"Never skip the basics! This collection includes basic items like workstations, tool and their mods, medical, electronics, and vehicles",,,,,,,,,,,,基础务必要牢靠！这套收藏中囊括了所有关于工作站、工具与其改装件、医药、电器以及载具的基础知识。,,
perkEncyclopediaCompleteLongDesc,progression,perk  book,,,Once you've collected all of the books in this set you will have learned all of the schematics in this series,,,,,,,,,,,,集齐这套书中的所有分册将让您学会此系列所覆盖的全部蓝图。,,
bookEncyclopediaVolOneMelee,items,perk  book,,,Hand to Hand Combat,,,,,,,,,,,,拳拳到肉,,
perkEncyclopediaVolOneMeleeDesc,progression,perk  book,,,Hand to Hand Combat \n----Learn all melee weapon schematics,,,,,,,,,,,,拳拳到肉\n——掌握所有格斗武器的蓝图,,
perkEncyclopediaVolOneMeleeLongDesc,progression,perk  book,,,Learn how to craft all melee weapons,,,,,,,,,,,,学习所有格斗武器的制作方法。,,
bookEncyclopediaVolOneGuns,items,perk  book,,,Sabbath's Ultimate Weapon Manual,,,,,,,,,,,,赛巴斯的究极武器手册,,
perkEncyclopediaVolOneGunsDesc,progression,perk  book,,,Sabbath's Ultimate Weapon Manual \n----Learn all bows and firearms,,,,,,,,,,,,赛巴斯的究极武器手册\n——所有弓箭和火器的教材,,
perkEncyclopediaVolOneGunsLongDesc,progression,perk  book,,,"Learn how to craft bows, crossbows, and all firearms",,,,,,,,,,,,学习所有弓、弩、火器的的制作方法。,,
bookEncyclopediaVolOneWeaponMods,items,perk  book,,,Kundrav's Weapon Modification Lexicon,,,,,,,,,,,,昆德拉夫的武器改造图典,,
perkEncyclopediaVolOneWeaponModsDesc,progression,perk  book,,,Kundrav's Weapon Modification Lexicon \n----Learn all weapon mod schematics,,,,,,,,,,,,昆德拉夫的武器改造图典\n——掌握所有武器改装件的蓝图,,
perkEncyclopediaVolOneWeaponModsLongDesc,progression,perk  book,,,Learn how to craft all weapon mods that aren't locked by perk books,,,,,,,,,,,,学习所有未被技能书锁定的武器改装件的制作方法。,,
bookEncyclopediaVolOneExplosives,items,perk  book,,,Wabbiit's Weapons of Mass Destruction,,,,,,,,,,,,傻兔兔的大规模杀伤性武器,,
perkEncyclopediaVolOneExplosivesDesc,progression,perk  book,,,Wabbiit's Weapons of Mass Destruction \n----Learn all explosive schematics,,,,,,,,,,,,傻兔兔的大规模杀伤性武器\n——掌握所有爆炸物的蓝图,,
perkEncyclopediaVolOneExplosivesLongDesc,progression,perk  book,,,Make things go boom with all the explosives,,,,,,,,,,,,轰隆一声啥都不见了~~,,
bookEncyclopediaVolOneArmor,items,perk  book,,,Frreya's Armor of the Gods,,,,,,,,,,,,芙蕾雅的诸神铠甲,,
perkEncyclopediaVolOneArmorDesc,progression,perk  book,,,Frreya's Armor of the Gods \n----Learn all armor schematics,,,,,,,,,,,,芙蕾雅的诸神铠甲\n——掌握所有护甲的蓝图,,
perkEncyclopediaVolOneArmorLongDesc,progression,perk  book,,,Learn to craft all of the different types of armor,,,,,,,,,,,,学习全部各式护甲的制作方法。,,
bookEncyclopediaVolOneArmorMods,items,perk  book,,,Mexi's Manual to Armor Utilization,,,,,,,,,,,,梅西的护甲改造手册,,
perkEncyclopediaVolOneArmorModsDesc,progression,perk  book,,,Mexi's Manual to Armor Utilization \n----Learn all armor mod schematics,,,,,,,,,,,,梅西的护甲改造手册\n——掌握所有护甲改装件的蓝图,,
perkEncyclopediaVolOneArmorModsLongDesc,progression,perk  book,,,Yes!!,,,,,,,,,,,,好耶！！,,
bookEncyclopediaVolOneTraps,items,perk  book,,,McNinja's Compendium of Turrets and Traps,,,,,,,,,,,,麦麦忍者的炮塔与陷阱概论,,
perkEncyclopediaVolOneTrapsDesc,progression,perk  book,,,McNinja's Compendium of Turrets and Traps \n----Learn all turret and trap schematics,,,,,,,,,,,,麦麦忍者的炮塔与陷阱概论\n——掌握所有炮塔与陷阱的蓝图,,
perkEncyclopediaVolOneTrapsLongDesc,progression,perk  book,,,"Learn all turrets along with the dart, blade, and electric wire trap",,,,,,,,,,,,学习所有炮塔，以及各式飞镖、刀片、电缆陷阱的制作方法。,,
bookEncyclopediaVolOneComplete,items,perk  book,,,Completed Vol 1,,,,,,,,,,,,完美的第一编,,
perkEncyclopediaVolOneCompleteDesc,progression,perk  book,,,Volume 1 Collection Complete,,,,,,,,,,,,大百科全书的第一编已经全部集齐了！,,
bookEncyclopediaVolTwoSeeds,items,perk  book,,,Farmer's Almanac,,,,,,,,,,,,农民年鉴,,
perkEncyclopediaVolTwoSeedsDesc,progression,perk  book,,,Farmer's Almanac - Learn all seeds recipes,,,,,,,,,,,,农民年鉴\n——掌握全部种子的配方,,
perkEncyclopediaVolTwoSeedsLongDesc,progression,perk  book,,,Learn how to craft all seeds,,,,,,,,,,,,学习所有种子的制作方法。,,
bookEncyclopediaVolTwoFood,items,perk  book,,,Grandma's Secret Recipes,,,,,,,,,,,,奶奶的私房菜谱,,
perkEncyclopediaVolTwoFoodDesc,progression,perk  book,,,Grandma's Secret Recipes - Learn all food recipes,,,,,,,,,,,,奶奶的私房菜谱\n——掌握全部食品的配方,,
perkEncyclopediaVolTwoFoodLongDesc,progression,perk  book,,,Learn how to cook all food recipes,,,,,,,,,,,,学习所有食品的烹饪方法。,,
bookEncyclopediaVolTwoDrinks,items,perk  book,,,Bartender's Friend,,,,,,,,,,,,酒保之友,,
perkEncyclopediaVolTwoDrinksDesc,progression,perk  book,,,Bartender's Friend - Learn all drink recipes,,,,,,,,,,,,酒保之友\n——掌握全部饮品的配方,,
perkEncyclopediaVolTwoDrinksLongDesc,progression,perk  book,,,Learn how to craft all drink recipes including Grandpa's Drinks,,,,,,,,,,,,学习包括祖父秘药在内的全部饮品的制作方法。,,
bookEncyclopediaVolTwoCarMods,items,perk  book,,,After Market Parts,,,,,,,,,,,,载具售后,,
perkEncyclopediaVolTwoCarModsDesc,progression,perk  book,,,After Market Parts - Learn how to craft vehicle mods,,,,,,,,,,,,载具售后\n——掌握全部载具改装件的蓝图,,
perkEncyclopediaVolTwoCarModsLongDesc,progression,perk  book,,,Learn how to create all of the vehicle mods,,,,,,,,,,,,学习所有载具改装件的制作方法。,,
bookEncyclopediaVolTwoDroneMods,items,perk  book,,,Eye in the Sky,,,,,,,,,,,,云中之眼,,
perkEncyclopediaVolTwoDroneModsDesc,progression,perk  book,,,Eye in the Sky - Learn how to craft the drone and drone mods,,,,,,,,,,,,云中之眼\n——掌握全部无人机及其改装件的蓝图,,
perkEncyclopediaVolTwoDroneModsLongDesc,progression,perk  book,,,Learn how to create the drone and all of the drone mods,,,,,,,,,,,,学习全部无人机和无人机改装件的制作方法。,,
bookEncyclopediaVolTwoComplete,items,perk  book,,,Completed Vol 2,,,,,,,,,,,,完美的第二编,,
perkEncyclopediaVolTwoCompleteDesc,progression,perk  book,,,Volume 2 Collection Complete,,,,,,,,,,,,大百科全书的第二编已经全部集齐了！,,
bookEncyclopediaVolThreeWorkstations,items,perk  book,,,Crafter's Guide,,,,,,,,,,,,手艺人指南,,
perkEncyclopediaVolThreeWorkstationsDesc,progression,perk  book,,,Crafter's Guide \n----Learn all workstation schematics,,,,,,,,,,,,手艺人指南\n——掌握全部工作站的蓝图,,
perkEncyclopediaVolThreeWorkstationsLongDesc,progression,perk  book,,,Learn how to craft all workstations and their parts,,,,,,,,,,,,掌握所有工作站及其升级部件的制作方法。,,
bookEncyclopediaVolThreeTools,items,perk  book,,,Mac Tool's Catalog,,,,,,,,,,,,麦克工具的商品目录,,
perkEncyclopediaVolThreeToolsDesc,progression,perk  book,,,Mac Tool's Catalog \n----Learn all Tool schematics,,,,,,,,,,,,麦克工具的商品目录\n——掌握所有工具的蓝图,,
perkEncyclopediaVolThreeToolsLongDesc,progression,perk  book,,,Learn how to create all tools including the auger and chainsaw,,,,,,,,,,,,学习包括钻头与链锯的全部工具的制作方法。,,
bookEncyclopediaVolThreeToolMods,items,perk  book,,,Handyman's Special,,,,,,,,,,,,勤杂工特供,,
perkEncyclopediaVolThreeToolModsDesc,progression,perk  book,,,Handyman's Special \n----Learn all Tool mod schematics,,,,,,,,,,,,勤杂工特供\n——掌握所有工具改装件的蓝图,,
perkEncyclopediaVolThreeToolModsLongDesc,progression,perk  book,,,Learn how to create all of the tool mods including small and large tanks,,,,,,,,,,,,学习包括大小油箱在内的全部工具改装件的制作方法。,,
bookEncyclopediaVolThreeMedical,items,perk  book,,,Dr. Death Defy's Medical Dictionary,,,,,,,,,,,,逆命博士秘撰药典,,
