Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
modernCookingHelper,blocks,Block,,,Modern Cooking Appliances,,,,,,,,,,,,现代化灶具,,
modernCookingHelperBlockDesc,blocks,Block,,,Place these bad boys down and start cooking in modern times!,,,,,,,,,,,,安置好这些傻小子，你就再也不必像个山顶洞人一样烤篝火了！,,
modernCookingWallOven,blocks,Workstation,,,Modern Wall Oven,,,,,,,,,,,,厨房炉灶台,,
modernCookingOldStove,blocks,Workstation,,,Modern Stove,,,,,,,,,,,,火炉,,
modernCookingWoodStove,blocks,Workstation,,,Modern Wood Stone,,,,,,,,,,,,烧柴火炉,,
modernCookingMicrowaveVer1,blocks,Workstation,,,Modern Microwave Version 1,,,,,,,,,,,,微波炉 1型,,
modernCookingMicrowaveVer2,blocks,Workstation,,,Modern Microwave Version 2,,,,,,,,,,,,微波炉 2型,,
modernCookingCharcoalGrillClosed,blocks,Workstation,,,"Modern Charcoal Grill (Closed)",,,,,,,,,,,,碳烤炉（合上）,,
modernCookingCharcoalGrillOpen,blocks,Workstation,,,"Modern Charcoal Grill (Open)",,,,,,,,,,,,碳烤炉（打开）,,
modernCookingGasGrillClosed,blocks,Workstation,,,"Modern Gas Grill (Closed)",,,,,,,,,,,,煤气烤炉（合上）,,
modernCookingGasGrillOpen,blocks,Workstation,,,"Modern Gas Grill (Open)",,,,,,,,,,,,煤气烤炉（打开）,,
modernCookingToaster,blocks,Workstation,,,Modern Toaster,,,,,,,,,,,,面包机,,
modernCookingCoffeeMaker,blocks,Workstation,,,Modern Coffee Maker,,,,,,,,,,,,咖啡机,,
modernCookingCoffeeMakerCommercial,blocks,Workstation,,,Modern Commercial Coffee Maker,,,,,,,,,,,,商用咖啡机,,
