Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
mmGoMaxZombies,,,Main Menu Game Options,KgNone,Max Zombies Alive,,Max Zombies Alive,Max. Zombieanzahl,Zombies vivants max.,Máximo de zombis vivos,,,,,,,活跃丧尸上限,,
goMaxZombies,,UI,Menu,KgNone,Max Zombies Alive,,Max Zombies Alive,Max. Zombieanzahl,Zombies vivants max.,Máximo de zombis vivos,,,,,,,活跃丧尸上限,,
goMaxZombiesDesc,,UI,Menu,KgNone,Maximum amount of zombies that can spawn in the world.,,"Maximale Anzahl von Zombies, die auf der Welt erscheinen können.","Die maximale Anzahl an Spielern, die sich gleichzeitig mit deinem Spiel verbinden können.",Le nombre maximal de joueurs qui peuvent rejoindre simultanément votre partie.,Indica la cantidad máxima de jugadores simultáneos que se pueden unir a una partida.,,,,,,,整个世界中可以生成的活跃丧尸的数量上限。,,
goZombies,,UI,Menu,New,{0} Zombies,,{0} Zombies,{0} Zombies,{0} Des morts-vivants,{0} Zombies,,,,,,,{0} 个丧尸,,
mmGoMaxAnimals,,,Main Menu Game Options,KgNone,Max Animals Alive,,Max Animals Alive,max tiere am leben,max animaux vivants,max animales vivos,,,,,,,活跃动物上限,,
goMaxAnimals,,UI,Menu,KgNone,Max Animals Alive,,Max Animals Alive,Max. Zombieanzahl,Zombies vivants max.,Máximo de zombis vivos,,,,,,,活跃动物上限,,
goMaxAnimalsDesc,,UI,Menu,KgNone,Maximum amount of animals that can spawn in the world.,,"Maximale Anzahl von Tieren, die auf der Welt laichen können.","Maximale Anzahl von Tieren, die auf der Welt laichen können.",Nombre maximum d'animaux pouvant se reproduire dans le monde.,Cantidad máxima de animales que pueden desovar en el mundo.,,,,,,,整个世界中可以生成的活跃动物的数量上限。,,
goAnimals,,UI,Menu,New,{0} Animals,,{0} Tiere,{0} Tiere,{0} Animaux,{0} Los animales,,,,,,,{0} 头动物,,
mmGoLandClaimCount,,,Main Menu Game Options,KgNone,Land Claim Amount,,Landanspruchsbetrag,Landanspruchsbetrag,Montant de la revendication territoriale,Cantidad de reclamo de tierra,,,,,,,领地数量上限,,
goLandClaimCount,,UI,Menu,KgNone,Claim Amount,,Anspruchsbetrag,Anspruchsbetrag,Montant de la réclamation,Reclamar cantidad,,,,,,,领地数量上限,,
goLandClaimCountDesc,,UI,Menu,KgNone,The amount of land claim blocks a player can have active.,,"Die Menge der Landanspruchsblöcke, die ein Spieler aktiv haben kann.","Die Anzahl der Landanspruchsblöcke, die ein Spieler aktiv haben kann.",Le nombre de revendications territoriales qu'un joueur peut avoir actives.,La cantidad de bloques de reclamo de tierra que un jugador puede tener activo.,,,,,,,一名玩家可以激活的领地块的数量上限。,,
goLandClaimCountValue,,UI,Menu,KgNone,{0} block,,{0} blockieren,{0} Block,{0} bloc,Bloques: {0},,,,,,,{0} 个领地块,,
goLandClaimCountValues,,UI,Menu,KgNone,{0} blocks,,{0} Blöcke,{0} Blöcke,{0} blocs,Bloques: {0},,,,,,,{0} 个领地块,,
